segment_id,latitude,longitude,upstream_npdes_count,upstream_npdes_pfas_count,nearest_pfas_facility_km,upstream_discharge_volume_m3,pfas_industry_density,afff_site_nearby,wwtp_upstream,landfill_upstream,mean_annual_flow_m3s,low_flow_7q10_m3s,stream_order,watershed_area_km2,baseflow_index,mean_velocity_ms,pct_urban,pct_agriculture,pct_forest,pct_impervious,population_density,airport_within_10km,fire_training_site,ph,temperature_c,dissolved_organic_carbon_mgl,total_organic_carbon_mgl,conductivity_us_cm,water_pfas_ng_l
seg_000000,33.614422733489334,-99.08129667837454,1,0,56.15,5959.0,0.366,0,0,0,1.28,0.373,1,15.2,0.627,0.118,24.6,27.0,55.7,17.1,39.2,0,0,6.2,20.7,7.2,9.27,239.4,3.64
seg_000001,46.86642904742807,-79.87687164888567,7,1,25.14,984.0,0.068,0,0,0,25.72,4.735,3,385.1,0.266,0.639,36.7,44.4,5.3,20.8,6.0,0,0,7.72,22.3,1.07,1.32,147.0,28.31
seg_000002,41.835860661662316,-112.21271210203655,5,0,13.56,12631.0,0.168,0,1,0,9.18,2.546,1,398.7,0.577,0.149,38.4,77.1,0.0,18.6,29.8,0,0,7.19,12.5,1.14,1.36,124.9,10.58
seg_000003,38.76914513653184,-115.45516861109857,3,0,17.75,95.0,0.273,0,0,0,8.67,0.712,3,64.6,0.217,0.779,8.2,51.5,39.9,6.2,10.6,1,0,6.24,17.2,3.69,4.39,299.1,3.26
seg_000004,28.58842873017604,-101.43273060410147,2,0,60.04,29379.0,0.559,0,0,0,1.52,0.166,1,38.7,0.298,1.695,49.3,52.7,9.8,38.4,20.4,0,0,7.65,21.0,2.98,3.13,475.6,9.42
seg_000005,28.587873967732662,-71.2580477733339,1,0,11.56,846.0,0.104,0,1,0,99.61,9.035,5,1353.7,0.619,1.637,60.9,28.6,13.8,21.4,7.8,0,0,7.28,17.2,1.1,1.3,126.4,2.92
seg_000006,26.33592307986859,-83.79553472928012,9,0,14.35,1871.0,0.086,0,1,0,4.93,0.709,3,151.1,0.606,0.409,26.0,29.5,41.4,17.3,52.4,1,0,6.93,18.1,6.21,7.66,420.9,7.73
seg_000007,44.92205135282351,-100.70242976201072,1,0,43.58,84558.0,0.468,0,0,0,107.47,30.026,5,2789.2,0.498,1.384,47.4,46.9,3.5,33.2,49.3,0,0,6.87,10.1,5.88,7.94,392.3,3.15
seg_000008,38.8256452700938,-94.99821415425,11,1,6.71,3761.0,0.569,0,0,1,29.19,3.605,4,1115.8,0.595,1.767,21.0,61.4,39.3,9.0,499.5,0,0,6.87,20.3,7.02,9.96,269.0,9.03
seg_000009,41.28566928930905,-120.11564535172829,4,0,32.3,28249.0,0.044,0,1,1,16.97,3.374,4,320.4,0.692,1.742,25.3,47.7,32.9,13.6,18.7,0,0,6.72,18.6,3.74,4.63,113.3,6.19
seg_000010,25.473443368803455,-67.89459801018545,8,0,17.09,4516.0,0.017,0,1,0,19.88,5.545,1,476.4,0.7,1.628,38.2,52.7,13.4,26.3,20.8,0,0,7.08,10.7,7.61,9.06,338.6,5.53
seg_000011,47.30792659972587,-86.34837632769471,3,1,17.27,121668.0,0.086,0,1,0,11.56,2.031,3,179.8,0.734,0.559,36.7,62.4,14.0,27.2,0.5,0,0,7.18,17.9,4.62,4.99,192.9,19.44
seg_000012,44.1461807384097,-108.44656402912149,1,0,46.38,6836.0,1.156,0,0,0,9.87,1.796,2,95.0,0.734,1.952,24.3,77.5,15.5,18.6,536.4,0,0,7.3,20.1,11.24,13.97,210.7,9.02
seg_000013,29.88379954560035,-91.02311313551583,6,0,149.43,11812.0,0.558,1,0,1,20.47,3.851,2,311.2,0.539,1.466,33.5,65.0,0.0,10.8,1.4,0,0,6.93,16.5,3.1,3.54,716.6,30.52
seg_000014,29.181974245763314,-118.65002276799835,2,0,53.43,6563.0,1.269,0,1,0,2.57,0.309,1,117.0,0.412,1.421,11.3,59.2,39.5,3.7,1.3,0,0,7.68,19.2,6.44,7.91,75.4,20.34
seg_000015,29.218303726628978,-68.98147320916016,9,0,5.25,2425.0,0.546,0,1,1,6.39,0.988,1,171.0,0.2,1.846,42.9,79.5,0.0,16.3,214.7,0,0,7.33,9.4,3.57,4.84,125.8,19.04
seg_000016,31.997571588069366,-114.86247070276478,3,0,7.63,22436.0,1.68,0,0,0,3.12,0.817,2,91.1,0.759,0.753,2.4,49.7,44.7,1.1,12.6,0,0,7.93,29.0,3.14,4.58,91.7,11.8
seg_000017,37.06939792754147,-87.41424155279758,2,0,15.83,769.0,0.289,0,1,0,18.66,2.797,2,715.3,0.318,0.954,44.5,78.9,0.0,24.1,63.5,0,0,6.88,14.9,4.22,6.2,1084.0,21.37
seg_000018,34.93473542876866,-110.76364117274204,9,0,38.11,17607.0,0.457,0,0,1,5.0,0.774,2,219.6,0.7,0.928,22.6,26.3,47.1,9.3,12.8,0,0,7.52,34.1,1.87,2.01,235.1,3.29
seg_000019,31.698270224554964,-83.38143980638493,3,1,21.36,27687.0,0.46,0,0,0,20.17,1.593,3,121.8,0.35,0.321,23.0,61.4,10.7,15.4,1.3,0,0,7.26,15.0,3.03,3.13,158.9,5.5
seg_000020,39.07261657861473,-79.9443607000637,5,0,69.62,10497.0,0.002,0,1,0,634.75,105.296,4,6731.0,0.393,0.648,79.5,47.2,0.0,57.1,189.7,0,0,6.68,10.0,7.18,7.44,531.8,4.3
seg_000021,28.20835879499696,-85.9416557231369,4,0,1.5,504.0,0.014,0,0,0,2.27,0.161,1,55.1,0.324,1.437,13.4,72.1,11.0,8.5,70.7,0,1,7.44,19.2,2.57,3.8,441.1,11.95
seg_000022,31.719326916310017,-89.35903130519884,3,0,8.97,9664.0,0.078,0,0,0,25.44,2.972,1,355.6,0.665,0.175,64.5,60.3,0.0,25.0,8.4,0,0,7.42,15.3,1.83,2.42,148.9,7.45
seg_000023,33.42632239575491,-73.23679255078332,2,0,7.43,27521.0,0.358,0,1,0,31.53,9.297,7,830.8,0.461,0.978,26.7,56.3,26.4,10.7,55.8,0,0,7.36,10.2,3.12,4.09,430.2,2.95
seg_000024,35.48960963699183,-120.43965076259403,6,0,40.9,285.0,0.282,0,1,0,56.7,15.662,5,1851.8,0.777,1.475,21.0,22.2,45.6,11.1,318.2,0,0,7.46,14.6,4.22,6.29,282.2,9.93
seg_000025,43.059047112039316,-105.80694358474868,6,0,18.75,196.0,0.388,0,1,0,13.73,2.818,1,371.4,0.686,1.498,36.8,37.1,53.8,20.6,1.5,0,0,7.95,12.0,0.94,0.96,395.3,3.57
seg_000026,29.592496989642274,-110.59932618141093,3,0,0.45,18236.0,0.806,0,1,0,10.75,2.452,1,382.3,0.54,1.839,15.4,34.3,57.2,6.9,15.0,1,0,6.83,13.5,4.98,5.4,147.6,62.5
seg_000027,36.82739208351307,-67.69519020020554,1,0,44.54,886.0,0.864,0,1,0,38.48,4.21,6,225.6,0.67,1.165,6.8,53.3,35.6,3.5,2.3,0,0,7.87,22.0,4.33,4.69,58.2,2.01
seg_000028,38.625535083826975,-102.41539277932134,2,0,13.47,14056.0,1.886,0,0,0,0.78,0.067,1,22.8,0.705,0.494,23.9,53.5,21.7,14.0,4.0,0,0,7.0,23.8,2.86,3.22,80.9,6.27
seg_000029,26.06835949255995,-82.50846344405687,5,0,9.05,123207.0,0.408,0,0,0,12.65,2.375,1,473.1,0.75,1.565,48.1,68.5,0.0,23.4,71.1,1,0,6.76,11.9,2.38,2.38,329.9,4.5
seg_000030,38.973531593733085,-85.28594049490174,3,0,5.23,215.0,0.227,0,0,1,5.29,1.453,1,263.8,0.248,1.061,34.1,74.8,0.0,26.7,64.9,0,0,7.25,18.9,1.34,1.86,779.7,23.48
seg_000031,28.922054844807704,-112.69928822631209,10,0,87.57,160.0,0.184,0,1,0,2.49,0.642,1,24.2,0.681,1.647,44.9,43.7,0.0,34.5,86.4,0,0,6.74,11.9,3.58,4.99,102.6,16.12
seg_000032,26.496186638661428,-111.13813454773002,8,0,85.44,21515.0,0.208,0,1,0,11.45,2.26,4,63.3,0.31,0.519,4.2,57.7,39.4,2.0,31.9,0,0,6.95,20.8,8.02,10.17,61.3,1.79
seg_000033,46.82436735682666,-108.68549531392402,2,0,2.39,50683.0,0.196,0,0,0,3.92,1.16,3,70.8,0.75,0.114,37.7,48.2,0.0,25.7,60.4,0,0,6.39,21.6,3.41,4.11,374.8,12.06
seg_000034,47.20953676071487,-101.15461786095601,2,0,7.95,113848.0,0.25,0,1,0,5.78,0.647,1,114.4,0.313,0.633,4.9,53.4,23.8,2.0,60.0,0,0,6.86,22.1,3.91,5.13,716.6,6.36
seg_000035,43.593139006678605,-111.40914619226945,3,0,31.16,18166.0,0.039,0,0,0,18.91,4.57,6,782.2,0.303,0.448,8.7,63.6,31.1,5.9,6.4,1,0,7.23,15.9,3.37,3.49,454.3,2.08
seg_000036,32.006116690987525,-123.86021400068283,2,0,33.3,2410.0,0.502,0,0,0,7.16,0.866,2,116.9,0.496,1.463,32.2,68.0,11.8,21.3,349.4,0,1,6.92,23.0,3.86,4.02,485.9,4.62
seg_000037,27.24645862214683,-73.99520270518266,2,0,16.22,4233.0,0.42,0,0,1,20.92,6.141,2,336.4,0.714,1.054,25.0,24.5,59.8,10.2,7.2,0,0,7.46,17.6,4.95,6.93,97.7,6.41
seg_000038,40.73735960977961,-68.99462977990872,4,0,25.22,6193.0,0.31,0,1,0,14.9,1.731,4,658.2,0.253,0.81,11.9,65.6,26.7,8.0,0.8,1,0,7.73,24.9,2.08,3.05,838.0,8.99
seg_000039,35.12350735601083,-105.18891755216906,1,0,36.38,102418.0,0.042,0,0,0,19.07,2.696,3,463.7,0.236,0.246,28.2,75.1,0.0,8.7,134.7,1,0,7.13,9.3,6.66,6.79,1028.7,1.9
seg_000040,27.806879401429914,-105.36660099332258,7,0,90.18,7506.0,0.049,0,0,0,16.87,2.853,5,583.8,0.659,0.505,25.8,20.3,42.5,16.8,39.3,0,0,6.71,12.3,2.33,2.64,463.5,1.74
seg_000041,36.38906893255921,-124.58867485908648,2,0,38.74,785.0,0.394,0,1,0,18.48,2.411,3,265.5,0.704,1.864,42.5,64.3,6.3,15.4,3.9,1,0,7.59,21.8,2.84,4.14,118.8,6.26
seg_000042,25.790935985650023,-85.54546007683831,2,0,3.51,5473.0,0.019,0,1,0,6.98,0.829,3,223.9,0.474,0.492,17.4,56.1,14.9,8.6,739.8,0,1,6.77,3.9,0.72,1.06,231.3,3.89
seg_000043,45.91436924781199,-77.12448604657953,4,0,37.96,154.0,0.645,0,0,0,2.67,0.447,2,120.6,0.588,1.202,49.9,38.4,13.3,19.4,2.1,0,0,7.09,4.6,6.25,7.4,357.9,11.92
seg_000044,30.951939576800388,-116.49671857911981,3,0,2.1,1349.0,2.54,0,0,0,24.46,6.217,7,927.5,0.278,1.66,16.1,66.2,0.0,6.2,215.2,0,0,6.88,29.8,4.26,5.11,842.6,10.09
seg_000045,40.23801254014158,-115.73935173670526,4,0,20.95,1839.0,0.455,1,0,0,10.16,2.473,3,114.6,0.558,0.653,9.3,62.4,22.9,5.0,731.1,0,0,7.23,21.1,1.92,2.17,237.6,33.77
seg_000046,32.16935475005645,-79.1751715016566,3,0,22.45,1954.0,0.643,0,1,1,5.6,0.903,2,61.2,0.206,1.623,21.6,57.9,7.0,16.6,3925.3,0,0,7.3,17.4,1.95,2.36,629.0,5.46
seg_000047,36.961564487089646,-89.2551365954596,1,0,45.19,144.0,0.289,0,0,0,6.65,0.853,1,63.7,0.381,0.715,34.8,27.9,38.1,19.9,249.4,0,0,6.73,17.9,5.49,6.16,609.4,4.34
seg_000048,37.574336424895435,-122.39808765759241,6,0,0.35,400.0,0.55,0,1,0,55.35,4.586,3,2566.0,0.213,1.193,24.7,43.4,37.2,10.7,201.9,0,0,7.29,26.2,2.6,2.75,434.3,9.86
seg_000049,29.251652477087124,-88.89227455318766,2,0,62.32,4039.0,0.527,0,1,0,3.51,0.938,3,113.8,0.363,0.635,33.4,64.9,0.0,24.8,733.8,0,0,6.99,12.4,7.52,9.71,43.3,7.99
seg_000050,47.30044643858485,-107.08277207506157,1,0,32.71,20248.0,0.869,0,0,0,19.73,5.357,2,114.1,0.214,1.195,35.2,61.2,3.4,17.1,17.4,0,0,7.5,18.5,2.31,3.06,89.8,12.23
seg_000051,42.82805493730564,-103.61394098269093,3,0,0.95,1584.0,0.621,0,0,1,24.24,1.617,1,1036.0,0.764,0.501,26.5,57.1,19.1,8.6,3.6,0,0,7.33,26.6,2.81,3.96,253.4,34.9
seg_000052,46.60847565597635,-80.35557773878095,1,1,4.58,3802.0,0.731,0,0,0,41.62,9.871,4,819.7,0.73,1.637,17.1,58.4,13.9,11.5,848.1,0,0,7.31,23.4,3.97,5.1,127.8,18.04
seg_000053,45.58102905983592,-77.96575882498858,1,0,1.21,21930.0,0.407,0,0,1,18.47,5.006,3,654.6,0.323,1.013,13.7,45.8,35.5,5.3,3.8,0,0,7.19,7.1,3.3,3.91,218.1,7.38
seg_000054,38.75169951265496,-101.77931564328982,6,1,43.57,898238.0,0.331,0,1,0,21.14,4.95,3,916.2,0.75,1.843,8.1,41.1,60.7,5.5,170.9,0,1,7.14,11.6,2.1,2.59,132.8,6.52
seg_000055,46.20310740553169,-70.06512971163143,2,0,5.62,1756.0,0.307,0,0,0,10.2,1.376,1,397.2,0.738,1.297,30.2,50.7,35.9,20.7,245.5,0,0,7.59,31.4,3.85,4.35,98.9,3.19
seg_000056,27.03532754719415,-101.42516235877982,7,0,1.4,803.0,0.249,0,0,0,0.22,0.034,1,9.1,0.331,1.673,20.0,76.1,0.0,11.4,1.4,0,0,7.14,24.9,1.99,2.81,132.7,29.77
seg_000057,29.50760583564034,-80.23350995665362,3,0,4.45,21566.0,0.155,0,0,0,1.29,0.162,2,53.2,0.604,1.715,37.9,24.7,38.2,22.1,1135.5,0,0,6.2,19.6,4.13,4.45,102.7,13.04
seg_000058,26.040227644942377,-96.93511865527297,2,1,24.6,18690.0,0.017,0,1,0,5.77,1.071,1,67.5,0.312,1.1,42.8,49.5,12.1,19.4,11.8,0,0,6.58,21.2,4.23,5.92,214.7,6.42
seg_000059,32.48259760755508,-72.94312506171913,4,0,20.52,276.0,0.556,0,0,0,20.97,5.714,4,470.7,0.609,1.461,16.4,81.6,18.9,5.5,7.8,0,0,7.15,13.9,4.34,4.41,83.3,3.3
