station_id,latitude,longitude,upstream_pfas_facility_count,nearest_pfas_facility_km,watershed_area_km2,pct_urban,mean_annual_flow_m3s,stream_order,month,water_pfas_ng_l,huc8,sample_date,year,n_congeners,segment_id
11NPSWRD_WQX-TUMA_3P_SGLS,31.562036,-111.047035,0,989.6,500.0,15.0,50.0,4,8,12.5,15050301.0,2017-08-28,2017,1,seg_000000
21FLCEN_WQX-G4CE0144,27.91292,-81.35394,0,781.36,500.0,15.0,50.0,4,12,17.7,3090101.0,2024-12-18,2024,6,seg_000001
21FLCEN_WQX-G4CE0144,27.91292,-81.35394,0,781.36,500.0,15.0,50.0,4,2,18.7,3090101.0,2025-02-18,2025,6,seg_000002
21FLCEN_WQX-G4CE0144,27.91292,-81.35394,0,781.36,500.0,15.0,50.0,4,4,20.0,3090101.0,2025-04-17,2025,6,seg_000003
21FLCEN_WQX-G4CE0144,27.91292,-81.35394,0,781.36,500.0,15.0,50.0,4,6,18.8,3090101.0,2025-06-18,2025,6,seg_000004
21FLCEN_WQX-G4CE0206,27.89404,-81.353739,0,783.26,500.0,15.0,50.0,4,12,17.3,3090101.0,2024-12-18,2024,6,seg_000005
21FLCEN_WQX-G4CE0206,27.89404,-81.353739,0,783.26,500.0,15.0,50.0,4,2,18.4,3090101.0,2025-02-18,2025,6,seg_000006
21FLCEN_WQX-G4CE0206,27.89404,-81.353739,0,783.26,500.0,15.0,50.0,4,4,19.2,3090101.0,2025-04-17,2025,6,seg_000007
21FLCEN_WQX-G4CE0206,27.89404,-81.353739,0,783.26,500.0,15.0,50.0,4,6,18.9,3090101.0,2025-06-18,2025,6,seg_000008
21FLCEN_WQX-G4CE0248,27.869656,-81.346961,0,785.46,500.0,15.0,50.0,4,2,351.6,3090101.0,2025-02-18,2025,6,seg_000009
21FLCEN_WQX-G4CE0248,27.869656,-81.346961,0,785.46,500.0,15.0,50.0,4,4,378.8,3090101.0,2025-04-17,2025,6,seg_000010
21FLCEN_WQX-G4CE0248,27.869656,-81.346961,0,785.46,500.0,15.0,50.0,4,6,380.0,3090101.0,2025-06-18,2025,6,seg_000011
21FLCEN_WQX-G4CE0258,27.873477,-81.348756,0,785.15,500.0,15.0,50.0,4,12,20.9,3090101.0,2024-12-18,2024,6,seg_000012
21FLCEN_WQX-G4CE0258,27.873477,-81.348756,0,785.15,500.0,15.0,50.0,4,2,20.6,3090101.0,2025-02-18,2025,6,seg_000013
21FLCEN_WQX-G4CE0258,27.873477,-81.348756,0,785.15,500.0,15.0,50.0,4,4,24.4,3090101.0,2025-04-17,2025,6,seg_000014
21FLCEN_WQX-G4CE0258,27.873477,-81.348756,0,785.15,500.0,15.0,50.0,4,6,29.1,3090101.0,2025-06-18,2025,6,seg_000015
21FLCEN_WQX-G4CE0259,27.874353,-81.348388,0,785.04,500.0,15.0,50.0,4,12,21.4,3090101.0,2024-12-18,2024,6,seg_000016
21FLCEN_WQX-G4CE0259,27.874353,-81.348388,0,785.04,500.0,15.0,50.0,4,2,20.1,3090101.0,2025-02-18,2025,6,seg_000017
21FLCEN_WQX-G4CE0259,27.874353,-81.348388,0,785.04,500.0,15.0,50.0,4,4,23.8,3090101.0,2025-04-17,2025,6,seg_000018
21FLCEN_WQX-G4CE0259,27.874353,-81.348388,0,785.04,500.0,15.0,50.0,4,6,18.9,3090101.0,2025-06-18,2025,6,seg_000019
21FLCEN_WQX-G4CE0260,27.895474,-81.370102,0,783.78,500.0,15.0,50.0,4,12,15.98,3090101.0,2024-12-18,2024,6,seg_000020
21FLCEN_WQX-G4CE0260,27.895474,-81.370102,0,783.78,500.0,15.0,50.0,4,2,17.88,3090101.0,2025-02-18,2025,6,seg_000021
21FLCEN_WQX-G4CE0260,27.895474,-81.370102,0,783.78,500.0,15.0,50.0,4,4,18.03,3090101.0,2025-04-17,2025,6,seg_000022
21FLCEN_WQX-G4CE0260,27.895474,-81.370102,0,783.78,500.0,15.0,50.0,4,6,18.0,3090101.0,2025-06-18,2025,6,seg_000023
21FLCEN_WQX-G4CE0261,27.901978,-81.372798,0,783.23,500.0,15.0,50.0,4,12,16.07,3090101.0,2024-12-18,2024,6,seg_000024
21FLCEN_WQX-G4CE0261,27.901978,-81.372798,0,783.23,500.0,15.0,50.0,4,2,18.6,3090101.0,2025-02-18,2025,6,seg_000025
21FLCEN_WQX-G4CE0261,27.901978,-81.372798,0,783.23,500.0,15.0,50.0,4,4,20.0,3090101.0,2025-04-17,2025,6,seg_000026
21FLCEN_WQX-G4CE0261,27.901978,-81.372798,0,783.23,500.0,15.0,50.0,4,6,17.2,3090101.0,2025-06-18,2025,6,seg_000027
21FLCEN_WQX-G4CE0262,27.905589,-81.371882,0,782.83,500.0,15.0,50.0,4,12,15.28,3090101.0,2024-12-18,2024,6,seg_000028
21FLCEN_WQX-G4CE0262,27.905589,-81.371882,0,782.83,500.0,15.0,50.0,4,2,15.27,3090101.0,2025-02-18,2025,6,seg_000029
21FLCEN_WQX-G4CE0262,27.905589,-81.371882,0,782.83,500.0,15.0,50.0,4,4,18.12,3090101.0,2025-04-17,2025,6,seg_000030
21FLCEN_WQX-G4CE0262,27.905589,-81.371882,0,782.83,500.0,15.0,50.0,4,6,18.3,3090101.0,2025-06-18,2025,6,seg_000031
21NYDECA_WQX-10295,44.3306,-74.080882,0,175.62,207.4,11.2,20.74,4,6,1.0,4150406.0,2023-06-27,2023,1,seg_000032
21NYDECA_WQX-1050,42.563225,-77.510048,0,305.4,2512.3,11.9,251.23,7,8,0.97,2050105.0,2022-08-31,2022,3,seg_000033
21NYDECA_WQX-10552,44.89464,-73.804081,0,228.49,255.3,11.8,25.53,4,8,0.96,4150408.0,2023-08-08,2023,1,seg_000034
21NYDECA_WQX-10563,44.878129,-73.422739,0,222.15,249.6,11.7,24.96,4,6,3.8,4150408.0,2023-06-27,2023,2,seg_000035
21NYDECA_WQX-1059,42.122616,-76.811108,0,235.13,3263.2,10.8,326.32,7,8,2.69,2050105.0,2022-08-31,2022,3,seg_000036
21NYDECA_WQX-10996,44.308057,-74.381049,0,184.59,215.5,11.3,21.55,4,8,2.1,4150406.0,2023-08-10,2023,1,seg_000037
21NYDECA_WQX-11017,44.345885,-74.148192,0,179.42,210.8,11.2,21.08,4,8,3.6,4150406.0,2023-08-08,2023,1,seg_000038
21NYDECA_WQX-1170,42.355513,-77.136042,0,268.55,2906.3,11.3,290.63,7,8,0.64,2050105.0,2022-08-31,2022,2,seg_000039
21NYDECA_WQX-1172,42.291184,-77.065257,0,260.7,2989.9,11.2,298.99,7,8,0.71,2050105.0,2022-08-30,2022,3,seg_000040
21NYDECA_WQX-11784,43.894192,-75.060537,0,187.72,218.0,11.3,21.8,4,9,8.84,4150101.0,2022-09-26,2022,3,seg_000041
21NYDECA_WQX-11788,43.785523,-74.846421,0,166.73,199.0,11.1,19.9,4,9,2.01,4150101.0,2022-09-27,2022,5,seg_000042
21NYDECA_WQX-1182,42.16833,-76.81889,0,237.2,3241.3,10.8,324.13,7,9,1.46,2050105.0,2022-09-01,2022,4,seg_000043
21NYDECA_WQX-11931,43.591129,-75.118835,0,174.33,205.8,11.2,20.58,4,9,1.46,4150101.0,2022-09-27,2022,3,seg_000044
21NYDECA_WQX-12086,43.94972,-75.162041,0,197.93,227.2,11.4,22.72,4,9,1.83,4150101.0,2022-09-26,2022,4,seg_000045
21NYDECA_WQX-1209,42.24891,-77.45244,0,289.79,2677.1,11.7,267.71,7,8,2.45,2050104.0,2022-08-31,2022,4,seg_000046
21NYDECA_WQX-1219,42.199,-77.407,0,284.74,2731.0,11.6,273.1,7,8,0.7,2050104.0,2022-08-31,2022,3,seg_000047
21NYDECA_WQX-1225,42.019592,-77.128563,0,257.8,268.6,32.5,26.86,3,8,2.06,2050104.0,2022-08-30,2022,4,seg_000048
21NYDECA_WQX-1249,42.080158,-77.364734,0,278.28,286.4,31.2,28.64,3,9,2.26,2050104.0,2022-09-01,2022,4,seg_000049
21NYDECA_WQX-1295,42.00278,-76.63499,0,217.63,3450.0,10.5,345.0,7,8,1.8,2050105.0,2021-08-16,2021,1,seg_000050
21NYDECA_WQX-1297,42.16751,-77.10477,0,259.78,2998.7,11.2,299.87,7,8,3.46,2050105.0,2022-08-30,2022,4,seg_000051
21NYDECA_WQX-1303,42.411703,-77.426762,0,293.15,2642.4,11.7,264.24,7,8,0.87,2050105.0,2022-08-31,2022,3,seg_000052
21NYDECA_WQX-1308,42.49526,-77.50321,0,302.18,2546.2,11.9,254.62,7,8,12.22,2050105.0,2022-08-31,2022,4,seg_000053
21NYDECA_WQX-13590,42.139265,-76.329575,0,197.94,3663.1,10.2,366.31,7,8,1.7,2050103.0,2023-08-30,2023,1,seg_000054
21NYDECA_WQX-13727,41.438884,-73.808378,2,19.87,5665.7,7.1,566.57,7,9,6.18,2030101.0,2022-09-13,2022,4,seg_000055
21NYDECA_WQX-13742,41.29072,-74.05407,2,21.87,5607.4,7.2,560.74,7,9,2.24,2020008.0,2022-09-13,2022,4,seg_000056
21NYDECA_WQX-139,42.86194,-78.86787,0,324.41,358.6,12.2,35.86,4,4,5.1,4120103.0,2021-04-13,2021,2,seg_000057
21NYDECA_WQX-139,42.86194,-78.86787,0,324.41,358.6,12.2,35.86,4,8,4.6,4120103.0,2021-08-17,2021,2,seg_000058
21NYDECA_WQX-14932,41.385054,-73.74853,2,26.66,5589.1,7.2,558.91,7,9,9.23,2030101.0,2022-09-13,2022,5,seg_000059
21NYDECA_WQX-15148,41.33106,-73.993607,2,17.73,5658.1,7.1,565.81,7,9,5.38,2020008.0,2022-09-13,2022,4,seg_000060
21NYDECA_WQX-15437,42.72036,-73.43064,2,26.1,71.6,9.4,7.16,4,8,2.78,2020006.0,2022-08-30,2022,4,seg_000061
21NYDECA_WQX-15610,42.697202,-73.739952,2,49.04,92.0,9.7,9.2,4,8,10.03,2020006.0,2022-08-31,2022,5,seg_000062
21NYDECA_WQX-15688,41.46559,-73.66397,2,31.25,5548.3,7.3,554.83,7,9,10.53,2030101.0,2022-09-12,2022,5,seg_000063
21NYDECA_WQX-15786,42.634207,-73.561111,2,40.43,84.5,9.6,8.45,4,8,13.12,2020006.0,2022-08-29,2022,5,seg_000064
21NYDECA_WQX-16031,44.378277,-74.263726,0,186.76,217.5,11.3,21.75,4,6,2.5,4150406.0,2023-06-28,2023,2,seg_000065
21NYDECA_WQX-16035,44.346239,-74.300171,0,185.01,215.9,11.3,21.59,4,6,3.73,4150406.0,2023-06-28,2023,3,seg_000066
21NYDECA_WQX-16613,44.617652,-73.608652,0,195.27,225.3,11.4,22.53,4,6,2.4,4150408.0,2023-06-28,2023,1,seg_000067
21NYDECA_WQX-1681,43.39806,-76.47166,0,271.76,293.6,12.3,29.36,4,4,3.4,4140203.0,2021-04-12,2021,1,seg_000068
21NYDECA_WQX-17490,43.423764,-73.256637,0,59.89,103.0,9.8,10.3,4,9,2.8,4150401.0,2023-09-19,2023,1,seg_000069
21NYDECA_WQX-1868,43.67611,-74.70834,0,150.62,184.5,10.9,18.45,4,9,2.46,4150101.0,2022-09-14,2022,4,seg_000070
21NYDECA_WQX-18683,42.3652,-73.451958,0,60.6,103.2,9.8,10.32,4,8,0.51,1100005.0,2022-08-29,2022,2,seg_000071
21NYDECA_WQX-18825,40.880238,-72.559076,0,140.96,4363.5,9.1,436.35,7,6,4.16,2030202.0,2023-06-14,2023,3,seg_000072
21NYDECA_WQX-19015,42.747427,-74.117012,0,76.71,117.1,10.0,11.71,4,8,3.53,2020006.0,2022-08-31,2022,4,seg_000073
21NYDECA_WQX-1912,43.82389,-75.65334,0,224.32,251.0,11.7,25.1,4,9,3.56,4150101.0,2022-09-13,2022,3,seg_000074
21NYDECA_WQX-1918,43.506198,-75.221461,0,178.03,209.1,11.2,20.91,4,9,1.27,4150101.0,2022-09-15,2022,4,seg_000075
21NYDECA_WQX-1920,43.93028,-75.59111,0,225.58,252.2,11.8,25.22,4,9,2.07,4150101.0,2022-09-13,2022,3,seg_000076
21NYDECA_WQX-1922,43.723389,-75.70138,0,223.03,249.8,11.7,24.98,4,9,2.49,4150101.0,2022-09-13,2022,4,seg_000077
21NYDECA_WQX-1941,43.98944,-75.92416,0,252.07,276.1,12.1,27.61,4,9,3.21,4150101.0,2022-09-13,2022,3,seg_000078
21NYDECA_WQX-1951,43.712444,-74.813651,0,159.87,192.8,11.0,19.28,4,9,1.84,4150101.0,2022-09-14,2022,4,seg_000079
21NYDECA_WQX-1958,43.45528,-75.15278,0,170.8,202.5,11.1,20.25,4,9,1.64,4150101.0,2022-09-15,2022,4,seg_000080
